#Names	A11-MAA000577-3_8_M-1-1.fastq.gz	A1-MAA100039-3_11_M-1-1.fastq.gz	A10-B000971-3_39_F-1-1.fastq.gz	A12-D041914-3_8_M-1-1.fastq.gz	A12-B001717-3_38_F-1-1.fastq.gz	A1-MAA000487-3_10_M-1-1.fastq.gz	A10-B002775-3_39_F-1-1.fastq.gz	A11-D041914-3_8_M-1-1.fastq.gz	A10-D041914-3_8_M-1-1.fastq.gz	A11-MAA100041-3_9_M-1-1.fastq.gz	A11-MAA100140-3_57_F-1-1.fastq.gz	A10-MAA000559-3_8_M-1-1.fastq.gz	A12-D042253-3_9_M-1-1.fastq.gz	A11-MAA000559-3_8_M-1-1.fastq.gz	A12-MAA000559-3_8_M-1-1.fastq.gz	A1-B002764-3_38_F-1-1.fastq.gz	A1-D042253-3_9_M-1-1.fastq.gz	A1-MAA000779-3_11_M-1-1.fastq.gz	A12-MAA000508-3_9_M-1-1.fastq.gz
A11-MAA000577-3_8_M-1-1.fastq.gz	0.000000	0.025795	0.034603	0.022397	0.018071	0.033451	0.022607	0.038212	0.048296	0.042694	0.017656	0.032780	0.038806	0.017774	0.012215	0.011688	0.026343	0.020956	0.016226
A1-MAA100039-3_11_M-1-1.fastq.gz	0.025795	0.000000	0.037351	0.074276	0.035987	0.058124	0.043760	0.061386	0.087744	0.205491	0.051860	0.026468	0.094859	0.031715	0.022594	0.011246	0.072064	0.026169	0.042602
A10-B000971-3_39_F-1-1.fastq.gz	0.034603	0.037351	0.000000	0.035804	0.040178	0.050041	0.045388	0.057642	0.064207	0.029986	0.034048	0.045540	0.037114	0.035551	0.035944	0.024356	0.036668	0.036519	0.049668
A12-D041914-3_8_M-1-1.fastq.gz	0.022397	0.074276	0.035804	0.000000	0.030197	0.076831	0.015606	0.085182	0.100393	0.074249	0.037329	0.031846	0.086248	0.029119	0.049492	0.013658	0.088435	0.034361	0.042619
A12-B001717-3_38_F-1-1.fastq.gz	0.018071	0.035987	0.040178	0.030197	0.000000	0.037628	0.042442	0.038940	0.065202	0.059336	0.031093	0.048905	0.056038	0.022947	0.033429	0.039892	0.051899	0.015969	0.059344
A1-MAA000487-3_10_M-1-1.fastq.gz	0.033451	0.058124	0.050041	0.076831	0.037628	0.000000	0.039385	0.084485	0.101449	0.081857	0.026648	0.033210	0.090445	0.021735	0.035502	0.029615	0.073097	0.026178	0.046438
A10-B002775-3_39_F-1-1.fastq.gz	0.022607	0.043760	0.045388	0.015606	0.042442	0.039385	0.000000	0.042050	0.057539	0.059437	0.021715	0.019883	0.049999	0.015228	0.038323	0.021403	0.035319	0.028213	0.058580
A11-D041914-3_8_M-1-1.fastq.gz	0.038212	0.061386	0.057642	0.085182	0.038940	0.084485	0.042050	0.000000	0.111767	0.077229	0.027794	0.031927	0.087769	0.038429	0.016104	0.012424	0.081567	0.021208	0.040508
A10-D041914-3_8_M-1-1.fastq.gz	0.048296	0.087744	0.064207	0.100393	0.065202	0.101449	0.057539	0.111767	0.000000	0.095923	0.054702	0.041613	0.103679	0.027519	0.026492	0.035099	0.093003	0.038394	0.054319
A11-MAA100041-3_9_M-1-1.fastq.gz	0.042694	0.205491	0.029986	0.074249	0.059336	0.081857	0.059437	0.077229	0.095923	0.000000	0.084847	0.037530	0.100344	0.030367	0.037962	0.019479	0.094314	0.041446	0.050106
A11-MAA100140-3_57_F-1-1.fastq.gz	0.017656	0.051860	0.034048	0.037329	0.031093	0.026648	0.021715	0.027794	0.054702	0.084847	0.000000	0.050617	0.024762	0.024830	0.022742	0.058494	0.045163	0.019173	0.053886
A10-MAA000559-3_8_M-1-1.fastq.gz	0.032780	0.026468	0.045540	0.031846	0.048905	0.033210	0.019883	0.031927	0.041613	0.037530	0.050617	0.000000	0.038969	0.052838	0.056864	0.033580	0.042450	0.044906	0.046611
A12-D042253-3_9_M-1-1.fastq.gz	0.038806	0.094859	0.037114	0.086248	0.056038	0.090445	0.049999	0.087769	0.103679	0.100344	0.024762	0.038969	0.000000	0.037345	0.028499	0.008039	0.096598	0.025861	0.049045
A11-MAA000559-3_8_M-1-1.fastq.gz	0.017774	0.031715	0.035551	0.029119	0.022947	0.021735	0.015228	0.038429	0.027519	0.030367	0.024830	0.052838	0.037345	0.000000	0.055395	0.020162	0.019248	0.051123	0.062564
A12-MAA000559-3_8_M-1-1.fastq.gz	0.012215	0.022594	0.035944	0.049492	0.033429	0.035502	0.038323	0.016104	0.026492	0.037962	0.022742	0.056864	0.028499	0.055395	0.000000	0.035018	0.037162	0.026719	0.069663
A1-B002764-3_38_F-1-1.fastq.gz	0.011688	0.011246	0.024356	0.013658	0.039892	0.029615	0.021403	0.012424	0.035099	0.019479	0.058494	0.033580	0.008039	0.020162	0.035018	0.000000	0.030099	0.025733	0.032849
A1-D042253-3_9_M-1-1.fastq.gz	0.026343	0.072064	0.036668	0.088435	0.051899	0.073097	0.035319	0.081567	0.093003	0.094314	0.045163	0.042450	0.096598	0.019248	0.037162	0.030099	0.000000	0.036543	0.047226
A1-MAA000779-3_11_M-1-1.fastq.gz	0.020956	0.026169	0.036519	0.034361	0.015969	0.026178	0.028213	0.021208	0.038394	0.041446	0.019173	0.044906	0.025861	0.051123	0.026719	0.025733	0.036543	0.000000	0.035945
A12-MAA000508-3_9_M-1-1.fastq.gz	0.016226	0.042602	0.049668	0.042619	0.059344	0.046438	0.058580	0.040508	0.054319	0.050106	0.053886	0.046611	0.049045	0.062564	0.069663	0.032849	0.047226	0.035945	0.000000
