	A1-B002764-3_38_F-1-1	A1-D042253-3_9_M-1-1	A1-MAA000487-3_10_M-1-1	A1-MAA000779-3_11_M-1-1	A1-MAA100039-3_11_M-1-1	A10-B000971-3_39_F-1-1	A10-B002775-3_39_F-1-1	A10-D041914-3_8_M-1-1	A10-MAA000559-3_8_M-1-1	A11-D041914-3_8_M-1-1	A11-MAA000559-3_8_M-1-1	A11-MAA000577-3_8_M-1-1	A11-MAA100041-3_9_M-1-1	A11-MAA100140-3_57_F-1-1	A12-B001717-3_38_F-1-1	A12-D041914-3_8_M-1-1	A12-D042253-3_9_M-1-1	A12-MAA000508-3_9_M-1-1	A12-MAA000559-3_8_M-1-1
A1-B002764-3_38_F-1-1	1.0	0.020559	0.019974	0.03237	0.016895	0.035601	0.028495	0.027005	0.027032	0.027907	0.026368	0.012224	0.016506	0.047628	0.023933	0.02671	0.017583	0.029452	0.027258
A1-D042253-3_9_M-1-1	0.020559	1.0	0.092994	0.034744	0.079501	0.038209	0.052721	0.117839	0.035048	0.100476	0.039816	0.033775	0.092409	0.035246	0.048225	0.097399	0.125149	0.052756	0.039487
A1-MAA000487-3_10_M-1-1	0.019974	0.092994	1.0	0.028427	0.076552	0.04322	0.048925	0.101627	0.036649	0.097025	0.03694	0.042471	0.080164	0.032777	0.048081	0.091311	0.103271	0.039601	0.037975
A1-MAA000779-3_11_M-1-1	0.03237	0.034744	0.028427	1.0	0.02595	0.038614	0.033259	0.037553	0.041004	0.037382	0.043722	0.015799	0.03104	0.028351	0.034966	0.036552	0.031793	0.046197	0.042543
A1-MAA100039-3_11_M-1-1	0.016895	0.079501	0.076552	0.02595	1.0	0.038273	0.045371	0.089213	0.031534	0.077378	0.03455	0.046272	0.196147	0.053119	0.044826	0.077178	0.095034	0.039959	0.034813
A10-B000971-3_39_F-1-1	0.035601	0.038209	0.04322	0.038614	0.038273	1.0	0.04287	0.051879	0.041142	0.053773	0.041689	0.029436	0.040904	0.035683	0.045205	0.05333	0.041996	0.042026	0.041722
A10-B002775-3_39_F-1-1	0.028495	0.052721	0.048925	0.033259	0.045371	0.04287	1.0	0.058345	0.034087	0.055962	0.036457	0.026352	0.051012	0.032129	0.041988	0.053129	0.054247	0.0417	0.034735
A10-D041914-3_8_M-1-1	0.027005	0.117839	0.101627	0.037553	0.089213	0.051879	0.058345	1.0	0.0423	0.137474	0.045905	0.041857	0.097147	0.03954	0.055227	0.113327	0.121685	0.052207	0.045795
A10-MAA000559-3_8_M-1-1	0.027032	0.035048	0.036649	0.041004	0.031534	0.041142	0.034087	0.0423	1.0	0.03985	0.059723	0.024051	0.033749	0.028558	0.033696	0.039208	0.036386	0.042899	0.063867
A11-D041914-3_8_M-1-1	0.027907	0.100476	0.097025	0.037382	0.077378	0.053773	0.055962	0.137474	0.03985	1.0	0.043065	0.040739	0.08474	0.039517	0.055442	0.109056	0.104082	0.047912	0.043145
A11-MAA000559-3_8_M-1-1	0.026368	0.039816	0.03694	0.043722	0.03455	0.041689	0.036457	0.045905	0.059723	0.043065	1.0	0.024094	0.039199	0.028168	0.03676	0.041108	0.039842	0.045334	0.06021
A11-MAA000577-3_8_M-1-1	0.012224	0.033775	0.042471	0.015799	0.046272	0.029436	0.026352	0.041857	0.024051	0.040739	0.024094	1.0	0.042505	0.020375	0.028671	0.04049	0.041784	0.021104	0.024232
A11-MAA100041-3_9_M-1-1	0.016506	0.092409	0.080164	0.03104	0.196147	0.040904	0.051012	0.097147	0.033749	0.08474	0.039199	0.042505	1.0	0.071083	0.047945	0.081471	0.103582	0.049642	0.039179
A11-MAA100140-3_57_F-1-1	0.047628	0.035246	0.032777	0.028351	0.053119	0.035683	0.032129	0.03954	0.028558	0.039517	0.028168	0.020375	0.071083	1.0	0.028971	0.037081	0.033168	0.03216	0.029475
A12-B001717-3_38_F-1-1	0.023933	0.048225	0.048081	0.034966	0.044826	0.045205	0.041988	0.055227	0.033696	0.055442	0.03676	0.028671	0.047945	0.028971	1.0	0.052788	0.053005	0.038327	0.035192
A12-D041914-3_8_M-1-1	0.02671	0.097399	0.091311	0.036552	0.077178	0.05333	0.053129	0.113327	0.039208	0.109056	0.041108	0.04049	0.081471	0.037081	0.052788	1.0	0.103232	0.04536	0.041416
A12-D042253-3_9_M-1-1	0.017583	0.125149	0.103271	0.031793	0.095034	0.041996	0.054247	0.121685	0.036386	0.104082	0.039842	0.041784	0.103582	0.033168	0.053005	0.103232	1.0	0.049643	0.039381
A12-MAA000508-3_9_M-1-1	0.029452	0.052756	0.039601	0.046197	0.039959	0.042026	0.0417	0.052207	0.042899	0.047912	0.045334	0.021104	0.049642	0.03216	0.038327	0.04536	0.049643	1.0	0.0477
A12-MAA000559-3_8_M-1-1	0.027258	0.039487	0.037975	0.042543	0.034813	0.041722	0.034735	0.045795	0.063867	0.043145	0.06021	0.024232	0.039179	0.029475	0.035192	0.041416	0.039381	0.0477	1.0
