#Names	A11-MAA000577-3_8_M-1-1.fastq.gz	A1-MAA100039-3_11_M-1-1.fastq.gz	A10-B000971-3_39_F-1-1.fastq.gz	A12-D041914-3_8_M-1-1.fastq.gz	A12-B001717-3_38_F-1-1.fastq.gz	A1-MAA000487-3_10_M-1-1.fastq.gz	A10-B002775-3_39_F-1-1.fastq.gz	A11-D041914-3_8_M-1-1.fastq.gz	A10-D041914-3_8_M-1-1.fastq.gz	A11-MAA100041-3_9_M-1-1.fastq.gz	A11-MAA100140-3_57_F-1-1.fastq.gz	A10-MAA000559-3_8_M-1-1.fastq.gz	A12-D042253-3_9_M-1-1.fastq.gz	A11-MAA000559-3_8_M-1-1.fastq.gz	A12-MAA000559-3_8_M-1-1.fastq.gz	A1-B002764-3_38_F-1-1.fastq.gz	A1-D042253-3_9_M-1-1.fastq.gz	A1-MAA000779-3_11_M-1-1.fastq.gz	A12-MAA000508-3_9_M-1-1.fastq.gz
A11-MAA000577-3_8_M-1-1.fastq.gz	0.000000	0.038805	0.024257	0.038568	0.026022	0.039125	0.022970	0.034201	0.039905	0.038792	0.019599	0.022150	0.033603	0.019238	0.020296	0.010099	0.028505	0.015135	0.018068
A1-MAA100039-3_11_M-1-1.fastq.gz	0.038805	0.000000	0.036245	0.065955	0.037360	0.069143	0.040220	0.065634	0.076378	0.177591	0.047309	0.029910	0.086685	0.032887	0.029889	0.014924	0.070118	0.025884	0.034531
A10-B000971-3_39_F-1-1.fastq.gz	0.024257	0.036245	0.000000	0.047486	0.041225	0.038872	0.039601	0.045484	0.047483	0.036083	0.031654	0.035623	0.041486	0.038176	0.035561	0.027757	0.034910	0.034346	0.036776
A12-D041914-3_8_M-1-1.fastq.gz	0.038568	0.065955	0.047486	0.000000	0.044565	0.078994	0.041993	0.092253	0.094595	0.067814	0.033527	0.031301	0.091859	0.035766	0.032399	0.020850	0.090439	0.032600	0.037739
A12-B001717-3_38_F-1-1.fastq.gz	0.026022	0.037360	0.041225	0.044565	0.000000	0.045425	0.040499	0.047696	0.054785	0.043337	0.026771	0.031561	0.049786	0.034937	0.031988	0.017848	0.040542	0.030758	0.036142
A1-MAA000487-3_10_M-1-1.fastq.gz	0.039125	0.069143	0.038872	0.078994	0.045425	0.000000	0.047124	0.086153	0.093229	0.074553	0.030377	0.035642	0.091112	0.031025	0.032739	0.016421	0.081738	0.023567	0.033512
A10-B002775-3_39_F-1-1.fastq.gz	0.022970	0.040220	0.039601	0.041993	0.040499	0.047124	0.000000	0.049321	0.056043	0.049177	0.026652	0.033275	0.051123	0.028646	0.031427	0.026950	0.046191	0.027937	0.036376
A11-D041914-3_8_M-1-1.fastq.gz	0.034201	0.065634	0.045484	0.092253	0.047696	0.086153	0.049321	0.000000	0.116989	0.078327	0.034064	0.034110	0.097414	0.034756	0.031445	0.021577	0.090555	0.030554	0.038462
A10-D041914-3_8_M-1-1.fastq.gz	0.039905	0.076378	0.047483	0.094595	0.054785	0.093229	0.056043	0.116989	0.000000	0.092023	0.033230	0.037150	0.113848	0.040005	0.035951	0.022803	0.106388	0.034721	0.045353
A11-MAA100041-3_9_M-1-1.fastq.gz	0.038792	0.177591	0.036083	0.067814	0.043337	0.074553	0.049177	0.078327	0.092023	0.000000	0.062643	0.032462	0.097666	0.036293	0.033764	0.016425	0.082861	0.028795	0.042899
A11-MAA100140-3_57_F-1-1.fastq.gz	0.019599	0.047309	0.031654	0.033527	0.026771	0.030377	0.026652	0.034064	0.033230	0.062643	0.000000	0.027514	0.027943	0.021288	0.020835	0.038188	0.027452	0.022446	0.028795
A10-MAA000559-3_8_M-1-1.fastq.gz	0.022150	0.029910	0.035623	0.031301	0.031561	0.035642	0.033275	0.034110	0.037150	0.032462	0.027514	0.000000	0.032062	0.052920	0.054702	0.020681	0.029224	0.036407	0.039395
A12-D042253-3_9_M-1-1.fastq.gz	0.033603	0.086685	0.041486	0.091859	0.049786	0.091112	0.051123	0.097414	0.113848	0.097666	0.027943	0.032062	0.000000	0.034993	0.033749	0.017230	0.112441	0.029370	0.047297
A11-MAA000559-3_8_M-1-1.fastq.gz	0.019238	0.032887	0.038176	0.035766	0.034937	0.031025	0.028646	0.034756	0.040005	0.036293	0.021288	0.052920	0.034993	0.000000	0.048758	0.023889	0.034044	0.040682	0.038546
A12-MAA000559-3_8_M-1-1.fastq.gz	0.020296	0.029889	0.035561	0.032399	0.031988	0.032739	0.031427	0.031445	0.035951	0.033764	0.020835	0.054702	0.033749	0.048758	0.000000	0.021051	0.034401	0.038069	0.039777
A1-B002764-3_38_F-1-1.fastq.gz	0.010099	0.014924	0.027757	0.020850	0.017848	0.016421	0.026950	0.021577	0.022803	0.016425	0.038188	0.020681	0.017230	0.023889	0.021051	0.000000	0.017848	0.021519	0.023585
A1-D042253-3_9_M-1-1.fastq.gz	0.028505	0.070118	0.034910	0.090439	0.040542	0.081738	0.046191	0.090555	0.106388	0.082861	0.027452	0.029224	0.112441	0.034044	0.034401	0.017848	0.000000	0.033026	0.049207
A1-MAA000779-3_11_M-1-1.fastq.gz	0.015135	0.025884	0.034346	0.032600	0.030758	0.023567	0.027937	0.030554	0.034721	0.028795	0.022446	0.036407	0.029370	0.040682	0.038069	0.021519	0.033026	0.000000	0.040456
A12-MAA000508-3_9_M-1-1.fastq.gz	0.018068	0.034531	0.036776	0.037739	0.036142	0.033512	0.036376	0.038462	0.045353	0.042899	0.028795	0.039395	0.047297	0.038546	0.039777	0.023585	0.049207	0.040456	0.000000
