	Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	age	platform	protocol	source_name	tissue	output	id
0	RNA-Seq		100	PRJNA431401	SAMN08390835	GEO	public	sra	ncbi	SRX3595389	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2018-01-24	15436	10133	Homo sapiens	ILLUMINA	2018-06-19	SRR6506827	SRS2867780	SRP131373	GSM2946615	21 yrs		inDrop	Transplant kidney	Transplant kidney	s3://olgabot-maca/sra/homo_sapiens/indrop/transplant_kidney_prjna431401/	homo_sapiens_indrop_transplant_kidney_srr6506827
1	RNA-Seq		100	PRJNA431401	SAMN08390834	GEO	public	sra	ncbi	SRX3595390	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2018-01-24	11625	7791	Homo sapiens	ILLUMINA	2018-06-19	SRR6506828	SRS2867781	SRP131373	GSM2946616	21 yrs		inDrop	Transplant kidney	Transplant kidney	s3://olgabot-maca/sra/homo_sapiens/indrop/transplant_kidney_prjna431401/	homo_sapiens_indrop_transplant_kidney_srr6506828
2	RNA-Seq		100	PRJNA431401	SAMN08390829	GEO	public	sra	ncbi	SRX3595391	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2018-01-24	15551	10034	Homo sapiens	ILLUMINA	2018-06-19	SRR6506829	SRS2867783	SRP131373	GSM2946617	21 yrs		inDrop	Transplant kidney	Transplant kidney	s3://olgabot-maca/sra/homo_sapiens/indrop/transplant_kidney_prjna431401/	homo_sapiens_indrop_transplant_kidney_srr6506829
3	RNA-Seq		85	PRJNA431401	SAMN08390839	GEO	public	sra	ncbi	SRX3595392	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2018-01-24	2336	927	Homo sapiens	ILLUMINA	2018-06-19	SRR6506830	SRS2867784	SRP131373	GSM2946618	21 yrs		inDrop	Transplant kidney	Transplant kidney	s3://olgabot-maca/sra/homo_sapiens/indrop/transplant_kidney_prjna431401/	homo_sapiens_indrop_transplant_kidney_srr6506830
4	RNA-Seq		85	PRJNA431401	SAMN08390838	GEO	public	sra	ncbi	SRX3595393	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2018-01-24	2267	887	Homo sapiens	ILLUMINA	2018-06-19	SRR6506831	SRS2867785	SRP131373	GSM2946619	21 yrs		inDrop	Transplant kidney	Transplant kidney	s3://olgabot-maca/sra/homo_sapiens/indrop/transplant_kidney_prjna431401/	homo_sapiens_indrop_transplant_kidney_srr6506831
5	RNA-Seq		85	PRJNA431401	SAMN08390836	GEO	public	sra	ncbi	SRX3595394	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2018-01-24	2361	941	Homo sapiens	ILLUMINA	2018-06-19	SRR6506832	SRS2867786	SRP131373	GSM2946620	21 yrs		inDrop	Transplant kidney	Transplant kidney	s3://olgabot-maca/sra/homo_sapiens/indrop/transplant_kidney_prjna431401/	homo_sapiens_indrop_transplant_kidney_srr6506832
6	RNA-Seq		85	PRJNA431401	SAMN08390837	GEO	public	sra	ncbi	SRX3595395	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2018-01-24	2323	921	Homo sapiens	ILLUMINA	2018-06-19	SRR6506833	SRS2867787	SRP131373	GSM2946621	21 yrs		inDrop	Transplant kidney	Transplant kidney	s3://olgabot-maca/sra/homo_sapiens/indrop/transplant_kidney_prjna431401/	homo_sapiens_indrop_transplant_kidney_srr6506833
0	RNA-Seq		100	PRJNA464435	SAMN09088275	GEO	public	sra	ncbi	SRX4051918	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-11	12328	8235	Homo sapiens	ILLUMINA	2018-06-19	SRR7130925	SRS3268953	SRP144908	GSM3135714	70 years	inDrops	inDrop	Human kidney	Human kidney	s3://olgabot-maca/sra/homo_sapiens/indrop/human_kidney_prjna464435/	homo_sapiens_indrop_human_kidney_srr7130925
0	RNA-Seq		36	PRJNA393429	SAMN07332539	GEO	public	sra	ncbi	SRX2989232	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	3159	1128	Danio rerio	ILLUMINA	2017-08-07	SRR5810670	SRS2341155	SRP111339	GSM2696099			inDrop	Whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/	danio_rerio_indrop_whole_kidney_marrow_srr5810670
1	RNA-Seq		50	PRJNA393429	SAMN07332539	GEO	public	sra	ncbi	SRX2989232	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	4388	1971	Danio rerio	ILLUMINA	2017-08-07	SRR5810671	SRS2341155	SRP111339	GSM2696099			inDrop	Whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/	danio_rerio_indrop_whole_kidney_marrow_srr5810671
