Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	age	cd10	cd135	cd34	cd38	cd45ra	cd49f	cd7	cd90	facs_time	fsc_a	fsc_h	fsc_w	genotype	lin	platform	protocol	source_name	ssc_a	ssc_h	ssc_w	strain	tissue	Run_s
RNA-Seq		100	PRJNA431401	SAMN08390835	GEO	public	sra	ncbi	SRX3595389	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2018-01-24	15436	10133	Homo sapiens	ILLUMINA	2018-06-19	SRR6506827	SRS2867780	SRP131373	GSM2946615	21 yrs																inDrop	Transplant kidney						SRR6506827
RNA-Seq		100	PRJNA431401	SAMN08390834	GEO	public	sra	ncbi	SRX3595390	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2018-01-24	11625	7791	Homo sapiens	ILLUMINA	2018-06-19	SRR6506828	SRS2867781	SRP131373	GSM2946616	21 yrs																inDrop	Transplant kidney						SRR6506828
RNA-Seq		100	PRJNA431401	SAMN08390829	GEO	public	sra	ncbi	SRX3595391	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2018-01-24	15551	10034	Homo sapiens	ILLUMINA	2018-06-19	SRR6506829	SRS2867783	SRP131373	GSM2946617	21 yrs																inDrop	Transplant kidney						SRR6506829
RNA-Seq		85	PRJNA431401	SAMN08390839	GEO	public	sra	ncbi	SRX3595392	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2018-01-24	2336	927	Homo sapiens	ILLUMINA	2018-06-19	SRR6506830	SRS2867784	SRP131373	GSM2946618	21 yrs																inDrop	Transplant kidney						SRR6506830
RNA-Seq		85	PRJNA431401	SAMN08390838	GEO	public	sra	ncbi	SRX3595393	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2018-01-24	2267	887	Homo sapiens	ILLUMINA	2018-06-19	SRR6506831	SRS2867785	SRP131373	GSM2946619	21 yrs																inDrop	Transplant kidney						SRR6506831
RNA-Seq		85	PRJNA431401	SAMN08390836	GEO	public	sra	ncbi	SRX3595394	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2018-01-24	2361	941	Homo sapiens	ILLUMINA	2018-06-19	SRR6506832	SRS2867786	SRP131373	GSM2946620	21 yrs																inDrop	Transplant kidney						SRR6506832
RNA-Seq		85	PRJNA431401	SAMN08390837	GEO	public	sra	ncbi	SRX3595395	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2018-01-24	2323	921	Homo sapiens	ILLUMINA	2018-06-19	SRR6506833	SRS2867787	SRP131373	GSM2946621	21 yrs																inDrop	Transplant kidney						SRR6506833
RNA-Seq		100	PRJNA464435	SAMN09088275	GEO	public	sra	ncbi	SRX4051918	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-11	12328	8235	Homo sapiens	ILLUMINA	2018-06-19	SRR7130925	SRS3268953	SRP144908	GSM3135714	70 years															inDrops		Human kidney					Human kidney	SRR7130925
RNA-Seq		36	PRJNA393429	SAMN07332539	GEO	public	sra	ncbi	SRX2989232	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	3159	1128	Danio rerio	ILLUMINA	2017-08-07	SRR5810670	SRS2341155	SRP111339	GSM2696099																	inDrop	Whole kidney marrow					kidney marrow	SRR5810670
RNA-Seq		50	PRJNA393429	SAMN07332539	GEO	public	sra	ncbi	SRX2989232	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	4388	1971	Danio rerio	ILLUMINA	2017-08-07	SRR5810671	SRS2341155	SRP111339	GSM2696099																	inDrop	Whole kidney marrow					kidney marrow	SRR5810671
RNA-Seq		36	PRJNA393429	SAMN07332544	GEO	public	sra	ncbi	SRX2989233	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	3053	1081	Danio rerio	ILLUMINA	2017-08-07	SRR5810672	SRS2341156	SRP111339	GSM2696100																	inDrop	Whole kidney marrow					kidney marrow	SRR5810672
RNA-Seq		50	PRJNA393429	SAMN07332544	GEO	public	sra	ncbi	SRX2989233	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	4241	1897	Danio rerio	ILLUMINA	2017-08-07	SRR5810673	SRS2341156	SRP111339	GSM2696100																	inDrop	Whole kidney marrow					kidney marrow	SRR5810673
RNA-Seq		36	PRJNA393429	SAMN07332543	GEO	public	sra	ncbi	SRX2989234	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	1477	538	Danio rerio	ILLUMINA	2017-08-07	SRR5810674	SRS2341157	SRP111339	GSM2696101																	inDrop	Whole kidney marrow					kidney marrow	SRR5810674
RNA-Seq		50	PRJNA393429	SAMN07332543	GEO	public	sra	ncbi	SRX2989234	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	2052	938	Danio rerio	ILLUMINA	2017-08-07	SRR5810675	SRS2341157	SRP111339	GSM2696101																	inDrop	Whole kidney marrow					kidney marrow	SRR5810675
RNA-Seq		36	PRJNA393429	SAMN07332542	GEO	public	sra	ncbi	SRX2989235	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	1895	674	Danio rerio	ILLUMINA	2017-08-07	SRR5810676	SRS2341158	SRP111339	GSM2696102																	inDrop	Whole kidney marrow					kidney marrow	SRR5810676
RNA-Seq		50	PRJNA393429	SAMN07332542	GEO	public	sra	ncbi	SRX2989235	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	2633	1183	Danio rerio	ILLUMINA	2017-08-07	SRR5810677	SRS2341158	SRP111339	GSM2696102																	inDrop	Whole kidney marrow					kidney marrow	SRR5810677
RNA-Seq		61	PRJNA393429	SAMN07332541	GEO	public	sra	ncbi	SRX2989236	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	25623	11478	Danio rerio	ILLUMINA	2017-08-07	SRR5810678	SRS2341159	SRP111339	GSM2696103																	inDrop	Whole kidney marrow					kidney marrow	SRR5810678
RNA-Seq		8	PRJNA393429	SAMN07332541	GEO	public	sra	ncbi	SRX2989236	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	3360	1648	Danio rerio	ILLUMINA	2017-08-07	SRR5810679	SRS2341159	SRP111339	GSM2696103																	inDrop	Whole kidney marrow					kidney marrow	SRR5810679
RNA-Seq		8	PRJNA393429	SAMN07332541	GEO	public	sra	ncbi	SRX2989236	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	3360	2249	Danio rerio	ILLUMINA	2017-08-07	SRR5810680	SRS2341159	SRP111339	GSM2696103																	inDrop	Whole kidney marrow					kidney marrow	SRR5810680
