Assay_Type	AvgSpotLen	BioProject	BioSample	DATASTORE_filetype	Experiment	LibrarySelection	LoadDate	MBases	MBytes	Run	SRA_Sample	SRA_Study	Sample_Name	cell_type	Center_Name	Consent	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySource	Organism	Platform	ReleaseDate	source_name	tissue
ATAC-seq	152	PRJNA379613	SAMN06613494	sra unknown_contigs	SRX2649602	other	2017-03-17	31	9	SRR5353377	SRS2054794	SRP102089	GSM2540299	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613493	sra	SRX2649603	other	2017-03-17	15	4	SRR5353378	SRS2054795	SRP102089	GSM2540300	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613492	sra unknown_contigs	SRX2649604	other	2017-03-17	38	12	SRR5353379	SRS2054796	SRP102089	GSM2540301	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613497	sra unknown_contigs	SRX2649605	other	2017-03-17	25	7	SRR5353380	SRS2054797	SRP102089	GSM2540302	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613496	sra	SRX2649606	other	2017-03-17	21	6	SRR5353381	SRS2054798	SRP102089	GSM2540303	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613495	sra unknown_contigs	SRX2649607	other	2017-03-17	25	7	SRR5353382	SRS2054799	SRP102089	GSM2540304	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613499	sra	SRX2649608	other	2017-03-17	19	5	SRR5353383	SRS2054800	SRP102089	GSM2540305	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613490	sra	SRX2649609	other	2017-03-17	47	16	SRR5353384	SRS2054801	SRP102089	GSM2540306	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613491	sra unknown_contigs	SRX2649610	other	2017-03-17	30	9	SRR5353385	SRS2054802	SRP102089	GSM2540307	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613365	sra	SRX2649611	other	2017-03-17	33	10	SRR5353386	SRS2054803	SRP102089	GSM2540308	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613498	sra	SRX2649612	other	2017-03-17	18	5	SRR5353387	SRS2054804	SRP102089	GSM2540309	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613371	sra	SRX2649613	other	2017-03-17	31	10	SRR5353388	SRS2054805	SRP102089	GSM2540310	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613370	sra unknown_contigs	SRX2649614	other	2017-03-17	20	6	SRR5353389	SRS2054806	SRP102089	GSM2540311	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613369	sra unknown_contigs	SRX2649615	other	2017-03-17	25	8	SRR5353390	SRS2054807	SRP102089	GSM2540312	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613368	sra unknown_contigs	SRX2649616	other	2017-03-17	22	6	SRR5353391	SRS2054808	SRP102089	GSM2540313	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613367	sra unknown_contigs	SRX2649617	other	2017-03-17	30	10	SRR5353392	SRS2054809	SRP102089	GSM2540314	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613366	sra unknown_contigs	SRX2649618	other	2017-03-17	48	16	SRR5353393	SRS2054810	SRP102089	GSM2540315	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613364	sra	SRX2649619	other	2017-03-17	63	21	SRR5353394	SRS2054811	SRP102089	GSM2540316	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613363	sra unknown_contigs	SRX2649620	other	2017-03-17	48	16	SRR5353395	SRS2054812	SRP102089	GSM2540317	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613362	sra unknown_contigs	SRX2649621	other	2017-03-17	22	7	SRR5353396	SRS2054813	SRP102089	GSM2540318	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613361	sra unknown_contigs	SRX2649622	other	2017-03-17	20	6	SRR5353397	SRS2054814	SRP102089	GSM2540319	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613360	sra unknown_contigs	SRX2649623	other	2017-03-17	22	7	SRR5353398	SRS2054815	SRP102089	GSM2540320	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613359	sra	SRX2649624	other	2017-03-17	13	3	SRR5353399	SRS2054816	SRP102089	GSM2540321	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613358	sra unknown_contigs	SRX2649625	other	2017-03-17	24	8	SRR5353400	SRS2054817	SRP102089	GSM2540322	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613357	sra unknown_contigs	SRX2649626	other	2017-03-17	16	5	SRR5353401	SRS2054818	SRP102089	GSM2540323	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613356	sra unknown_contigs	SRX2649627	other	2017-03-17	11	3	SRR5353402	SRS2054819	SRP102089	GSM2540324	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613355	sra unknown_contigs	SRX2649628	other	2017-03-17	19	6	SRR5353403	SRS2054820	SRP102089	GSM2540325	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
