BioSample	Experiment	LoadDate	MBases	MBytes	Run	SRA_Sample	Sample_Name	genotype	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study	age	source_name	strain	tissue
SAMN08117938	SRX3436301	2018-04-12	4232	2418	SRR6337197	SRS2727265	GSM2871706	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117938	SRX3436301	2018-04-12	4184	2410	SRR6337198	SRS2727265	GSM2871706	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117938	SRX3436301	2018-04-12	4173	2420	SRR6337199	SRS2727265	GSM2871706	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117938	SRX3436301	2018-04-12	4121	2386	SRR6337200	SRS2727265	GSM2871706	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117938	SRX3436301	2018-04-12	4101	2438	SRR6337201	SRS2727265	GSM2871706	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117938	SRX3436301	2018-04-12	3997	2426	SRR6337202	SRS2727265	GSM2871706	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117938	SRX3436301	2018-04-12	3881	2390	SRR6337203	SRS2727265	GSM2871706	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117938	SRX3436301	2018-04-12	3925	2390	SRR6337204	SRS2727265	GSM2871706	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117937	SRX3436302	2018-04-12	3793	2165	SRR6337205	SRS2727266	GSM2871707	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117937	SRX3436302	2018-04-12	3749	2158	SRR6337206	SRS2727266	GSM2871707	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117937	SRX3436302	2018-04-12	3742	2168	SRR6337207	SRS2727266	GSM2871707	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117937	SRX3436302	2018-04-12	3695	2138	SRR6337208	SRS2727266	GSM2871707	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117937	SRX3436302	2018-04-12	3682	2188	SRR6337209	SRS2727266	GSM2871707	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117937	SRX3436302	2018-04-12	3591	2182	SRR6337210	SRS2727266	GSM2871707	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117937	SRX3436302	2018-04-12	3488	2152	SRR6337211	SRS2727266	GSM2871707	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117937	SRX3436302	2018-04-12	3529	2151	SRR6337212	SRS2727266	GSM2871707	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117936	SRX3436303	2018-04-12	3838	2199	SRR6337213	SRS2727267	GSM2871708	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117936	SRX3436303	2018-04-12	3794	2192	SRR6337214	SRS2727267	GSM2871708	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117936	SRX3436303	2018-04-12	3783	2200	SRR6337215	SRS2727267	GSM2871708	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117936	SRX3436303	2018-04-12	3733	2169	SRR6337216	SRS2727267	GSM2871708	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117936	SRX3436303	2018-04-12	3705	2210	SRR6337217	SRS2727267	GSM2871708	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117936	SRX3436303	2018-04-12	3605	2198	SRR6337218	SRS2727267	GSM2871708	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
