AvgSpotLen	BioProject	BioSample	Experiment	Instrument	LibraryLayout	LoadDate	MBases	MBytes	Run	SRA_Sample	SRA_Study	Sample_Name	source_name	Assay_Type	AssemblyName	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	tissue
36	PRJNA393429	SAMN07332539	SRX2989232	NextSeq 500	SINGLE	2017-07-07	3159	1128	SRR5810670	SRS2341155	SRP111339	GSM2696099	Whole kidney marrow	RNA-Seq		GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
50	PRJNA393429	SAMN07332539	SRX2989232	NextSeq 500	SINGLE	2017-07-07	4388	1971	SRR5810671	SRS2341155	SRP111339	GSM2696099	Whole kidney marrow	RNA-Seq		GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
36	PRJNA393429	SAMN07332544	SRX2989233	NextSeq 500	SINGLE	2017-07-07	3053	1081	SRR5810672	SRS2341156	SRP111339	GSM2696100	Whole kidney marrow	RNA-Seq		GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
50	PRJNA393429	SAMN07332544	SRX2989233	NextSeq 500	SINGLE	2017-07-07	4241	1897	SRR5810673	SRS2341156	SRP111339	GSM2696100	Whole kidney marrow	RNA-Seq		GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
36	PRJNA393429	SAMN07332543	SRX2989234	NextSeq 500	SINGLE	2017-07-07	1477	538	SRR5810674	SRS2341157	SRP111339	GSM2696101	Whole kidney marrow	RNA-Seq		GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
50	PRJNA393429	SAMN07332543	SRX2989234	NextSeq 500	SINGLE	2017-07-07	2052	938	SRR5810675	SRS2341157	SRP111339	GSM2696101	Whole kidney marrow	RNA-Seq		GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
36	PRJNA393429	SAMN07332542	SRX2989235	NextSeq 500	SINGLE	2017-07-07	1895	674	SRR5810676	SRS2341158	SRP111339	GSM2696102	Whole kidney marrow	RNA-Seq		GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
50	PRJNA393429	SAMN07332542	SRX2989235	NextSeq 500	SINGLE	2017-07-07	2633	1183	SRR5810677	SRS2341158	SRP111339	GSM2696102	Whole kidney marrow	RNA-Seq		GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
61	PRJNA393429	SAMN07332541	SRX2989236	NextSeq 500	SINGLE	2017-07-07	25623	11478	SRR5810678	SRS2341159	SRP111339	GSM2696103	Whole kidney marrow	RNA-Seq		GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
8	PRJNA393429	SAMN07332541	SRX2989236	NextSeq 500	SINGLE	2017-07-07	3360	1648	SRR5810679	SRS2341159	SRP111339	GSM2696103	Whole kidney marrow	RNA-Seq		GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
