id,read1,read2,name,output,trim_low_abundance_kmers,dna,protein,ksizes,scaled
A10_B000419_S34,s3://czbiohub-seqbot/fastqs/180516_A00111_0149_AH5CM2DSXX/rawdata/A10_B000419_S34/A10_B000419_S34_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180516_A00111_0149_AH5CM2DSXX/rawdata/A10_B000419_S34/A10_B000419_S34_R2_001.fastq.gz,A10_B000419_S34,s3://olgabot-maca/lung_cancer/sourmash_v4/A10_B000419_S34.signature,True,true,true,"21,27,33,51",1000
A10_B000420_S82,s3://czbiohub-seqbot/fastqs/180516_A00111_0149_AH5CM2DSXX/rawdata/A10_B000420_S82/A10_B000420_S82_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180516_A00111_0149_AH5CM2DSXX/rawdata/A10_B000420_S82/A10_B000420_S82_R2_001.fastq.gz,A10_B000420_S82,s3://olgabot-maca/lung_cancer/sourmash_v4/A10_B000420_S82.signature,True,true,true,"21,27,33,51",1000
A10_B002073_S166,s3://czbiohub-seqbot/fastqs/180516_A00111_0149_AH5CM2DSXX/rawdata/A10_B002073_S166/A10_B002073_S166_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180516_A00111_0149_AH5CM2DSXX/rawdata/A10_B002073_S166/A10_B002073_S166_R2_001.fastq.gz,A10_B002073_S166,s3://olgabot-maca/lung_cancer/sourmash_v4/A10_B002073_S166.signature,True,true,true,"21,27,33,51",1000
A10_B002078_S202,s3://czbiohub-seqbot/fastqs/180516_A00111_0149_AH5CM2DSXX/rawdata/A10_B002078_S202/A10_B002078_S202_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180516_A00111_0149_AH5CM2DSXX/rawdata/A10_B002078_S202/A10_B002078_S202_R2_001.fastq.gz,A10_B002078_S202,s3://olgabot-maca/lung_cancer/sourmash_v4/A10_B002078_S202.signature,True,true,true,"21,27,33,51",1000
A10_B002095_S118,s3://czbiohub-seqbot/fastqs/180516_A00111_0149_AH5CM2DSXX/rawdata/A10_B002095_S118/A10_B002095_S118_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180516_A00111_0149_AH5CM2DSXX/rawdata/A10_B002095_S118/A10_B002095_S118_R2_001.fastq.gz,A10_B002095_S118,s3://olgabot-maca/lung_cancer/sourmash_v4/A10_B002095_S118.signature,True,true,true,"21,27,33,51",1000
A10_B002097_S250,s3://czbiohub-seqbot/fastqs/180516_A00111_0149_AH5CM2DSXX/rawdata/A10_B002097_S250/A10_B002097_S250_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180516_A00111_0149_AH5CM2DSXX/rawdata/A10_B002097_S250/A10_B002097_S250_R2_001.fastq.gz,A10_B002097_S250,s3://olgabot-maca/lung_cancer/sourmash_v4/A10_B002097_S250.signature,True,true,true,"21,27,33,51",1000
A10_B003125_S262,s3://czbiohub-seqbot/fastqs/180516_A00111_0149_AH5CM2DSXX/rawdata/A10_B003125_S262/A10_B003125_S262_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180516_A00111_0149_AH5CM2DSXX/rawdata/A10_B003125_S262/A10_B003125_S262_R2_001.fastq.gz,A10_B003125_S262,s3://olgabot-maca/lung_cancer/sourmash_v4/A10_B003125_S262.signature,True,true,true,"21,27,33,51",1000
A10_B003511_S214,s3://czbiohub-seqbot/fastqs/180516_A00111_0149_AH5CM2DSXX/rawdata/A10_B003511_S214/A10_B003511_S214_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180516_A00111_0149_AH5CM2DSXX/rawdata/A10_B003511_S214/A10_B003511_S214_R2_001.fastq.gz,A10_B003511_S214,s3://olgabot-maca/lung_cancer/sourmash_v4/A10_B003511_S214.signature,True,true,true,"21,27,33,51",1000
A10_B003527_S130,s3://czbiohub-seqbot/fastqs/180516_A00111_0149_AH5CM2DSXX/rawdata/A10_B003527_S130/A10_B003527_S130_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180516_A00111_0149_AH5CM2DSXX/rawdata/A10_B003527_S130/A10_B003527_S130_R2_001.fastq.gz,A10_B003527_S130,s3://olgabot-maca/lung_cancer/sourmash_v4/A10_B003527_S130.signature,True,true,true,"21,27,33,51",1000
A10_B003528_S10,s3://czbiohub-seqbot/fastqs/180516_A00111_0149_AH5CM2DSXX/rawdata/A10_B003528_S10/A10_B003528_S10_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180516_A00111_0149_AH5CM2DSXX/rawdata/A10_B003528_S10/A10_B003528_S10_R2_001.fastq.gz,A10_B003528_S10,s3://olgabot-maca/lung_cancer/sourmash_v4/A10_B003528_S10.signature,True,true,true,"21,27,33,51",1000
