id,read1,read2,name,output,ksize,num_hashes,dna,protein
A1-B002764-3_38_F-1-1,s3://czbiohub-maca/remux_data/170914_A00111_0057_BH3FY7DMXX/rawdata/A1-B002764-3_38_F-1-1_S291/A1-B002764-3_38_F-1-1_S291_R1_001.fastq.gz|s3://czbiohub-maca/remux_data/170914_A00111_0058_AH3FYKDMXX/rawdata/A1-B002764-3_38_F-1-1_S291/A1-B002764-3_38_F-1-1_S291_R1_001.fastq.gz,s3://czbiohub-maca/remux_data/170914_A00111_0057_BH3FY7DMXX/rawdata/A1-B002764-3_38_F-1-1_S291/A1-B002764-3_38_F-1-1_S291_R2_001.fastq.gz|s3://czbiohub-maca/remux_data/170914_A00111_0058_AH3FYKDMXX/rawdata/A1-B002764-3_38_F-1-1_S291/A1-B002764-3_38_F-1-1_S291_R2_001.fastq.gz,A1-B002764-3_38_F-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_urothelial_cell|free_annotation:Luminal_bladder_epithelial_cell,s3://olgabot-maca/facs/sourmash_compute_tissue_subset/A1-B002764-3_38_F-1-1.sig,"21,27,33,51",1000000,True,True
A1-D042253-3_9_M-1-1,s3://czbiohub-maca/remux_data/170907_A00111_0051_BH2HWLDMXX/rawdata/A1-D042253-3_9_M-1-1_S43/A1-D042253-3_9_M-1-1_S43_R1_001.fastq.gz|s3://czbiohub-maca/remux_data/170907_A00111_0052_AH2HTCDMXX/rawdata/A1-D042253-3_9_M-1-1_S43/A1-D042253-3_9_M-1-1_S43_R1_001.fastq.gz,s3://czbiohub-maca/remux_data/170907_A00111_0051_BH2HWLDMXX/rawdata/A1-D042253-3_9_M-1-1_S43/A1-D042253-3_9_M-1-1_S43_R2_001.fastq.gz|s3://czbiohub-maca/remux_data/170907_A00111_0052_AH2HTCDMXX/rawdata/A1-D042253-3_9_M-1-1_S43/A1-D042253-3_9_M-1-1_S43_R2_001.fastq.gz,A1-D042253-3_9_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,s3://olgabot-maca/facs/sourmash_compute_tissue_subset/A1-D042253-3_9_M-1-1.sig,"21,27,33,51",1000000,True,True
A1-MAA000487-3_10_M-1-1,s3://czbiohub-maca/remux_data/170910_A00111_0053_BH2HGKDMXX/rawdata/A1-MAA000487-3_10_M-1-1_S264/A1-MAA000487-3_10_M-1-1_S264_R1_001.fastq.gz|s3://czbiohub-maca/remux_data/170910_A00111_0054_AH2HGWDMXX/rawdata/A1-MAA000487-3_10_M-1-1_S264/A1-MAA000487-3_10_M-1-1_S264_R1_001.fastq.gz|s3://czbiohub-maca/remux_data/171001_A00111_0070_AH3TNKDMXX/rawdata/A1-MAA000487-3_10_M-1-1_S264/A1-MAA000487-3_10_M-1-1_S264_R1_001.fastq.gz,s3://czbiohub-maca/remux_data/170910_A00111_0053_BH2HGKDMXX/rawdata/A1-MAA000487-3_10_M-1-1_S264/A1-MAA000487-3_10_M-1-1_S264_R2_001.fastq.gz|s3://czbiohub-maca/remux_data/170910_A00111_0054_AH2HGWDMXX/rawdata/A1-MAA000487-3_10_M-1-1_S264/A1-MAA000487-3_10_M-1-1_S264_R2_001.fastq.gz|s3://czbiohub-maca/remux_data/171001_A00111_0070_AH3TNKDMXX/rawdata/A1-MAA000487-3_10_M-1-1_S264/A1-MAA000487-3_10_M-1-1_S264_R2_001.fastq.gz,A1-MAA000487-3_10_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,s3://olgabot-maca/facs/sourmash_compute_tissue_subset/A1-MAA000487-3_10_M-1-1.sig,"21,27,33,51",1000000,True,True
A1-MAA000779-3_11_M-1-1,s3://czbiohub-maca/remux_data/170928_A00111_0068_AH3YKKDMXX/rawdata/A1-MAA000779-3_11_M-1-1_S37/A1-MAA000779-3_11_M-1-1_S37_R1_001.fastq.gz|s3://czbiohub-maca/remux_data/170928_A00111_0069_BH52YMDMXX/rawdata/A1-MAA000779-3_11_M-1-1_S37/A1-MAA000779-3_11_M-1-1_S37_R1_001.fastq.gz,s3://czbiohub-maca/remux_data/170928_A00111_0068_AH3YKKDMXX/rawdata/A1-MAA000779-3_11_M-1-1_S37/A1-MAA000779-3_11_M-1-1_S37_R2_001.fastq.gz|s3://czbiohub-maca/remux_data/170928_A00111_0069_BH52YMDMXX/rawdata/A1-MAA000779-3_11_M-1-1_S37/A1-MAA000779-3_11_M-1-1_S37_R2_001.fastq.gz,A1-MAA000779-3_11_M-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:B_cell|free_annotation:NA,s3://olgabot-maca/facs/sourmash_compute_tissue_subset/A1-MAA000779-3_11_M-1-1.sig,"21,27,33,51",1000000,True,True
A1-MAA100039-3_11_M-1-1,s3://czbiohub-maca/remux_data/170928_A00111_0068_AH3YKKDMXX/rawdata/A1-MAA100039-3_11_M-1-1_S245/A1-MAA100039-3_11_M-1-1_S245_R1_001.fastq.gz|s3://czbiohub-maca/remux_data/170928_A00111_0069_BH52YMDMXX/rawdata/A1-MAA100039-3_11_M-1-1_S245/A1-MAA100039-3_11_M-1-1_S245_R1_001.fastq.gz,s3://czbiohub-maca/remux_data/170928_A00111_0068_AH3YKKDMXX/rawdata/A1-MAA100039-3_11_M-1-1_S245/A1-MAA100039-3_11_M-1-1_S245_R2_001.fastq.gz|s3://czbiohub-maca/remux_data/170928_A00111_0069_BH52YMDMXX/rawdata/A1-MAA100039-3_11_M-1-1_S245/A1-MAA100039-3_11_M-1-1_S245_R2_001.fastq.gz,A1-MAA100039-3_11_M-1-1|tissue:Liver|subtissue:Hepatocytes|cell_ontology_class:hepatocyte|free_annotation:NA,s3://olgabot-maca/facs/sourmash_compute_tissue_subset/A1-MAA100039-3_11_M-1-1.sig,"21,27,33,51",1000000,True,True
A10-B000971-3_39_F-1-1,s3://czbiohub-maca/remux_data/170925_A00111_0066_AH3TKNDMXX/rawdata/A10-B000971-3_39_F-1-1_S142/A10-B000971-3_39_F-1-1_S142_R1_001.fastq.gz|s3://czbiohub-maca/remux_data/170925_A00111_0067_BH3M5YDMXX/rawdata/A10-B000971-3_39_F-1-1_S142/A10-B000971-3_39_F-1-1_S142_R1_001.fastq.gz,s3://czbiohub-maca/remux_data/170925_A00111_0066_AH3TKNDMXX/rawdata/A10-B000971-3_39_F-1-1_S142/A10-B000971-3_39_F-1-1_S142_R2_001.fastq.gz|s3://czbiohub-maca/remux_data/170925_A00111_0067_BH3M5YDMXX/rawdata/A10-B000971-3_39_F-1-1_S142/A10-B000971-3_39_F-1-1_S142_R2_001.fastq.gz,A10-B000971-3_39_F-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:T_cell|free_annotation:NA,s3://olgabot-maca/facs/sourmash_compute_tissue_subset/A10-B000971-3_39_F-1-1.sig,"21,27,33,51",1000000,True,True
A10-B002775-3_39_F-1-1,s3://czbiohub-maca/remux_data/170914_A00111_0057_BH3FY7DMXX/rawdata/A10-B002775-3_39_F-1-1_S71/A10-B002775-3_39_F-1-1_S71_R1_001.fastq.gz|s3://czbiohub-maca/remux_data/170914_A00111_0058_AH3FYKDMXX/rawdata/A10-B002775-3_39_F-1-1_S71/A10-B002775-3_39_F-1-1_S71_R1_001.fastq.gz,s3://czbiohub-maca/remux_data/170914_A00111_0057_BH3FY7DMXX/rawdata/A10-B002775-3_39_F-1-1_S71/A10-B002775-3_39_F-1-1_S71_R2_001.fastq.gz|s3://czbiohub-maca/remux_data/170914_A00111_0058_AH3FYKDMXX/rawdata/A10-B002775-3_39_F-1-1_S71/A10-B002775-3_39_F-1-1_S71_R2_001.fastq.gz,A10-B002775-3_39_F-1-1|tissue:Kidney|subtissue:NA|cell_ontology_class:endothelial_cell|free_annotation:NA,s3://olgabot-maca/facs/sourmash_compute_tissue_subset/A10-B002775-3_39_F-1-1.sig,"21,27,33,51",1000000,True,True
A10-D041914-3_8_M-1-1,s3://czbiohub-maca/remux_data/170907_A00111_0051_BH2HWLDMXX/rawdata/A10-D041914-3_8_M-1-1_S279/A10-D041914-3_8_M-1-1_S279_R1_001.fastq.gz|s3://czbiohub-maca/remux_data/170907_A00111_0052_AH2HTCDMXX/rawdata/A10-D041914-3_8_M-1-1_S279/A10-D041914-3_8_M-1-1_S279_R1_001.fastq.gz,s3://czbiohub-maca/remux_data/170907_A00111_0051_BH2HWLDMXX/rawdata/A10-D041914-3_8_M-1-1_S279/A10-D041914-3_8_M-1-1_S279_R2_001.fastq.gz|s3://czbiohub-maca/remux_data/170907_A00111_0052_AH2HTCDMXX/rawdata/A10-D041914-3_8_M-1-1_S279/A10-D041914-3_8_M-1-1_S279_R2_001.fastq.gz,A10-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,s3://olgabot-maca/facs/sourmash_compute_tissue_subset/A10-D041914-3_8_M-1-1.sig,"21,27,33,51",1000000,True,True
A10-MAA000559-3_8_M-1-1,s3://czbiohub-maca/remux_data/170907_A00111_0051_BH2HWLDMXX/rawdata/A10-MAA000559-3_8_M-1-1_S17/A10-MAA000559-3_8_M-1-1_S17_R1_001.fastq.gz|s3://czbiohub-maca/remux_data/170907_A00111_0052_AH2HTCDMXX/rawdata/A10-MAA000559-3_8_M-1-1_S17/A10-MAA000559-3_8_M-1-1_S17_R1_001.fastq.gz,s3://czbiohub-maca/remux_data/170907_A00111_0051_BH2HWLDMXX/rawdata/A10-MAA000559-3_8_M-1-1_S17/A10-MAA000559-3_8_M-1-1_S17_R2_001.fastq.gz|s3://czbiohub-maca/remux_data/170907_A00111_0052_AH2HTCDMXX/rawdata/A10-MAA000559-3_8_M-1-1_S17/A10-MAA000559-3_8_M-1-1_S17_R2_001.fastq.gz,A10-MAA000559-3_8_M-1-1|tissue:Spleen|subtissue:NA|cell_ontology_class:B_cell|free_annotation:NA,s3://olgabot-maca/facs/sourmash_compute_tissue_subset/A10-MAA000559-3_8_M-1-1.sig,"21,27,33,51",1000000,True,True
A11-D041914-3_8_M-1-1,s3://czbiohub-maca/remux_data/170907_A00111_0051_BH2HWLDMXX/rawdata/A11-D041914-3_8_M-1-1_S280/A11-D041914-3_8_M-1-1_S280_R1_001.fastq.gz|s3://czbiohub-maca/remux_data/170907_A00111_0052_AH2HTCDMXX/rawdata/A11-D041914-3_8_M-1-1_S280/A11-D041914-3_8_M-1-1_S280_R1_001.fastq.gz,s3://czbiohub-maca/remux_data/170907_A00111_0051_BH2HWLDMXX/rawdata/A11-D041914-3_8_M-1-1_S280/A11-D041914-3_8_M-1-1_S280_R2_001.fastq.gz|s3://czbiohub-maca/remux_data/170907_A00111_0052_AH2HTCDMXX/rawdata/A11-D041914-3_8_M-1-1_S280/A11-D041914-3_8_M-1-1_S280_R2_001.fastq.gz,A11-D041914-3_8_M-1-1|tissue:Bladder|subtissue:NA|cell_ontology_class:bladder_cell|free_annotation:Bladder_mesenchymal_cell,s3://olgabot-maca/facs/sourmash_compute_tissue_subset/A11-D041914-3_8_M-1-1.sig,"21,27,33,51",1000000,True,True
