,ignore_abundance,signature,id,sequence_to_compare,ksize,database,database_name,output
0,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A10_B000419_S34.signature,A10_B000419_S34_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A10_B000419_S34_ignore-abundance=True.csv
1,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A10_B000420_S82.signature,A10_B000420_S82_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A10_B000420_S82_ignore-abundance=True.csv
2,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A10_B002073_S166.signature,A10_B002073_S166_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A10_B002073_S166_ignore-abundance=True.csv
3,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A10_B002078_S202.signature,A10_B002078_S202_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A10_B002078_S202_ignore-abundance=True.csv
4,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A10_B002095_S118.signature,A10_B002095_S118_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A10_B002095_S118_ignore-abundance=True.csv
5,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A10_B002097_S250.signature,A10_B002097_S250_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A10_B002097_S250_ignore-abundance=True.csv
6,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A10_B003125_S262.signature,A10_B003125_S262_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A10_B003125_S262_ignore-abundance=True.csv
7,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A10_B003511_S214.signature,A10_B003511_S214_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A10_B003511_S214_ignore-abundance=True.csv
8,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A10_B003527_S130.signature,A10_B003527_S130_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A10_B003527_S130_ignore-abundance=True.csv
9,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A10_B003528_S10.signature,A10_B003528_S10_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A10_B003528_S10_ignore-abundance=True.csv
